Year,Violencia,Territorio,Units,Value
2018,ALLV,ES48083,PER_10000,51.2
2021,ALLV,ES20059,PER_10000,12.1
2019,ALLV,ES01021,PER_10000,0
2019,ALLV,ES48079,PER_10000,45
2020,ALLV,ES48020,PER_10000,48.3
2021,ALLV,ES48087,PER_10000,0
2020,ALLV,ES48083,PER_10000,79.3
2020,ALLV,ES48084,PER_10000,110.8
2021,ALLV,ES20019,PER_10000,39.5
2019,ALLV,ES20004,PER_10000,0
2020,ALLV,ES48078,PER_10000,50.1
2018,ALLV,ES48084,PER_10000,65.8
2020,ALLV,ES01004,PER_10000,31.3
2018,ALLV,ES48057,PER_10000,32.8
2021,ALLV,ES48076,PER_10000,0
2020,ALLV,ES48091,PER_10000,0
2018,ALLV,ES20018,PER_10000,29.6
2018,ALLV,ES20067,PER_10000,65.3
2020,ALLV,ES01034,PER_10000,360.4
2018,ALLV,,PER_10000,47.3
2021,ALLV,ES01044,PER_10000,0
2020,ALLV,ES20056,PER_10000,49.3
2021,ALLV,ES48058,PER_10000,16.9
2021,ALLV,ES20060,PER_10000,0
2018,ALLV,ES20038,PER_10000,0
2019,ALLV,ES01034,PER_10000,0
2021,ALLV,ES01003,PER_10000,28.1
2020,ALLV,ES48095,PER_10000,59.4
2018,ALLV,ES20907,PER_10000,0
2021,ALLV,ES48083,PER_10000,85.7
2020,ALLV,ES01018,PER_10000,24.5
2019,ALLV,ES20001,PER_10000,0
2018,ALLV,ES20906,PER_10000,0
2020,ALLV,ES48087,PER_10000,0
2021,ALLV,ES48059,PER_10000,79.4
2019,ALLV,ES48072,PER_10000,29.9
2021,ALLV,ES01020,PER_10000,58.5
2018,ALLV,ES48088,PER_10000,0
2020,ALLV,ES48070,PER_10000,0
2020,ALLV,ES4807,PER_10000,40.7
2020,ALLV,ES48097,PER_10000,154
2020,ALLV,ES01033,PER_10000,23.6
2021,ALLV,ES01036,PER_10000,45.2
2019,ALLV,ES20005,PER_10000,46.8
2021,ALLV,ES01043,PER_10000,17.1
2019,ALLV,ES20062,PER_10000,15.5
2020,ALLV,ES48915,PER_10000,99
2018,ALLV,ES48070,PER_10000,0
2019,ALLV,ES4806,PER_10000,27
2020,ALLV,ES20053,PER_10000,78.7
2019,ALLV,ES20053,PER_10000,42.7
2018,ALLV,ES48089,PER_10000,67.6
2020,ALLV,ES48060,PER_10000,28.4
2021,ALLV,ES2007,PER_10000,25.8
2018,ALLV,ES20015,PER_10000,12
2020,ALLV,ES20062,PER_10000,0
2019,ALLV,ES48060,PER_10000,20.5
2021,ALLV,ES01018,PER_10000,23.7
2022,ALLV,ES2001,PER_10000,1
2019,ALLV,ES20061,PER_10000,42.9
2020,ALLV,ES01037,PER_10000,29.7
2021,ALLV,ES48912,PER_10000,59.4
2020,ALLV,ES20066,PER_10000,36.8
2021,ALLV,ES48068,PER_10000,61.6
2018,ALLV,ES20065,PER_10000,20.3
2021,ALLV,ES48092,PER_10000,35.2
2020,ALLV,ES01062,PER_10000,47.4
2019,ALLV,ES48091,PER_10000,28.4
2018,ALLV,ES48064,PER_10000,87.7
2021,ALLV,ES48093,PER_10000,46.3
2021,ALLV,ES0104,PER_10000,304.2
2019,ALLV,ES20073,PER_10000,74
2018,ALLV,ES48096,PER_10000,30.3
2021,ALLV,ES20073,PER_10000,32.6
2018,ALLV,ES20080,PER_10000,17.8
2019,ALLV,ES20010,PER_10000,10.2
2020,ALLV,ES48062,PER_10000,0
2019,ALLV,ES20063,PER_10000,34
2019,ALLV,ES01901,PER_10000,35
2019,ALLV,ES01041,PER_10000,0
2021,ALLV,ES20050,PER_10000,0
2019,ALLV,ES20075,PER_10000,50.4
2021,ALLV,ES01063,PER_10000,17.9
2019,ALLV,ES01018,PER_10000,12.7
2019,ALLV,ES20064,PER_10000,63.3
2020,ALLV,ES48063,PER_10000,87.3
2021,ALLV,ES01041,PER_10000,102
2018,ALLV,ES20011,PER_10000,27
2019,ALLV,ES01063,PER_10000,0
2020,ALLV,ES20012,PER_10000,93.5
2018,ALLV,ES0102,PER_10000,45.5
2021,ALLV,ES20077,PER_10000,59
2019,ALLV,ES48093,PER_10000,111.8
2021,ALLV,ES48063,PER_10000,0
2019,ALLV,ES20077,PER_10000,32.3
2018,ALLV,ES01041,PER_10000,0
2018,ALLV,ES01063,PER_10000,0
2018,ALLV,ES20012,PER_10000,0
2021,ALLV,ES20078,PER_10000,12.4
2018,ALLV,ES20050,PER_10000,0
2020,ALLV,ES20073,PER_10000,22.7
2019,ALLV,ES20079,PER_10000,22.5
2021,ALLV,ES01004,PER_10000,10.6
2019,ALLV,ES20013,PER_10000,22.8
2021,ALLV,ES48094,PER_10000,46.6
2018,ALLV,ES20076,PER_10000,39.8
2020,ALLV,ES20006,PER_10000,0
2019,ALLV,ES20012,PER_10000,0
2020,ALLV,ES0101,PER_10000,46
2019,ALLV,ES01042,PER_10000,87.4
2020,ALLV,ES20049,PER_10000,45.3
2018,ALLV,ES20079,PER_10000,34.4
2021,ALLV,ES48065,PER_10000,59.3
2020,ALLV,ES20077,PER_10000,47
2021,ALLV,ES48062,PER_10000,49
2019,ALLV,ES20081,PER_10000,24.2
2021,ALLV,ES01032,PER_10000,28.4
2019,ALLV,ES20014,PER_10000,52.3
2021,ALLV,ES20075,PER_10000,27.5
2020,ALLV,ES20011,PER_10000,27.7
2018,ALLV,ES20074,PER_10000,23.9
2021,ALLV,ES01062,PER_10000,0
2021,ALLV,ES20080,PER_10000,20.4
2021,ALLV,ES20902,PER_10000,28.4
2019,ALLV,ES20006,PER_10000,0
2018,ALLV,ES48065,PER_10000,34.6
2022,ALLV,ES0102,PER_10000,1.5
2020,ALLV,ES20015,PER_10000,47.9
2021,ALLV,ES48079,PER_10000,45.2
2019,ALLV,ES20074,PER_10000,33.2
2020,ALLV,ES48066,PER_10000,0
2020,ALLV,ES20904,PER_10000,0
2019,ALLV,ES2003,PER_10000,35.5
2019,ALLV,ES20016,PER_10000,43
2020,ALLV,ES20081,PER_10000,16
2019,ALLV,ES20904,PER_10000,0
2020,ALLV,ES48067,PER_10000,84.5
2018,ALLV,ES20016,PER_10000,31.9
2019,ALLV,ES48062,PER_10000,52.6
2020,ALLV,ES48093,PER_10000,62.2
2018,ALLV,ES20901,PER_10000,18.7
2019,ALLV,ES20017,PER_10000,8.5
2018,ALLV,ES48092,PER_10000,18
2019,ALLV,ES01032,PER_10000,58.3
2020,ALLV,ES48092,PER_10000,0
2021,ALLV,ES20005,PER_10000,34.9
2020,ALLV,ES20017,PER_10000,33.8
2018,ALLV,ES20017,PER_10000,27.1
2019,ALLV,ES01052,PER_10000,0
2018,ALLV,ES01020,PER_10000,66.2
2018,ALLV,ES48091,PER_10000,69.9
2019,ALLV,ES20018,PER_10000,24
2021,ALLV,ES20041,PER_10000,0
2019,ALLV,ES20007,PER_10000,0
2022,ALLV,ES4802,PER_10000,1.6
2021,ALLV,ES20081,PER_10000,47.6
2021,ALLV,ES48020,PER_10000,43.6
2021,ALLV,ES20066,PER_10000,38.6
2020,ALLV,ES01043,PER_10000,46
2019,ALLV,ES48911,PER_10000,0
2021,ALLV,ES48080,PER_10000,80.2
2019,ALLV,ES48069,PER_10000,30.3
2019,ALLV,ES48073,PER_10000,33
2019,ALLV,ES20903,PER_10000,46.8
2020,ALLV,ES20029,PER_10000,11
2019,ALLV,ES01010,PER_10000,27.5
2021,ALLV,ES0101,PER_10000,49.1
2018,ALLV,ES48066,PER_10000,0
2021,ALLV,ES01057,PER_10000,70.9
2020,ALLV,ES01031,PER_10000,14
2018,ALLV,ES01033,PER_10000,0
2021,ALLV,ES2005,PER_10000,32.2
2021,ALLV,ES48070,PER_10000,0
2019,ALLV,ES20066,PER_10000,0
2020,ALLV,ES48907,PER_10000,0
2018,ALLV,ES20904,PER_10000,0
2021,ALLV,ES20904,PER_10000,0
2020,ALLV,ES01061,PER_10000,0
2018,ALLV,ES01018,PER_10000,38
2018,ALLV,ES48032,PER_10000,16
2020,ALLV,ES20004,PER_10000,0
2020,ALLV,ES48003,PER_10000,33
2021,ALLV,ES20903,PER_10000,28.3
2021,ALLV,ES48090,PER_10000,57.4
2019,ALLV,ES20905,PER_10000,92.6
2020,ALLV,ES48004,PER_10000,0
2019,ALLV,ES01009,PER_10000,25
2020,ALLV,ES48901,PER_10000,57.2
2021,ALLV,ES48088,PER_10000,0
2019,ALLV,ES48070,PER_10000,0
2022,ALLV,ES4806,PER_10000,34
2021,ALLV,ES01039,PER_10000,0
2018,ALLV,ES48072,PER_10000,30.2
2020,ALLV,ES48005,PER_10000,0
2018,ALLV,ES48059,PER_10000,79.7
2020,ALLV,ES48006,PER_10000,0
2021,ALLV,ES48053,PER_10000,15.5
2019,ALLV,ES01002,PER_10000,38
2018,ALLV,ES20001,PER_10000,0
2020,ALLV,ES01020,PER_10000,0
2019,ALLV,ES20048,PER_10000,0
2019,ALLV,ES20021,PER_10000,0
2021,ALLV,ES20061,PER_10000,26.4
2018,ALLV,ES48007,PER_10000,0
2021,ALLV,ES48095,PER_10000,13.3
2018,ALLV,ES01049,PER_10000,0
2020,ALLV,ES48096,PER_10000,56.1
2020,ALLV,ES48902,PER_10000,58.2
2018,ALLV,ES01013,PER_10000,24.1
2018,ALLV,ES48074,PER_10000,94.2
2021,ALLV,ES48915,PER_10000,0
2018,ALLV,ES20022,PER_10000,0
2018,ALLV,ES01028,PER_10000,13.9
2020,ALLV,ES48009,PER_10000,0
2018,ALLV,ES01056,PER_10000,97.1
2019,ALLV,ES4801,PER_10000,42.1
2019,ALLV,ES48086,PER_10000,15.9
2020,ALLV,ES20023,PER_10000,68
2019,ALLV,ES01057,PER_10000,69
2022,ALLV,ES4801,PER_10000,538.6
2020,ALLV,ES20057,PER_10000,0
2018,ALLV,ES48086,PER_10000,8
2019,ALLV,ES48075,PER_10000,30.1
2020,ALLV,ES01060,PER_10000,0
2018,ALLV,ES48902,PER_10000,68.8
2018,ALLV,ES20056,PER_10000,26.6
2019,ALLV,ES48092,PER_10000,35.4
2019,ALLV,ES48011,PER_10000,30.9
2019,ALLV,ES48001,PER_10000,33.6
2020,ALLV,ES01011,PER_10000,146
2021,ALLV,ES48049,PER_10000,0
2020,ALLV,ES48011,PER_10000,66.6
2018,ALLV,ES48085,PER_10000,56.9
2020,ALLV,ES48012,PER_10000,66.8
2019,ALLV,ES48077,PER_10000,53.5
2019,ALLV,ES01020,PER_10000,65.4
2018,ALLV,ES01008,PER_10000,21.3
2018,ALLV,ES20025,PER_10000,27.5
2022,ALLV,ES2007,PER_10000,25.3
2019,ALLV,ES20043,PER_10000,8.5
2019,ALLV,ES48084,PER_10000,94
2019,ALLV,ES20047,PER_10000,82.6
2019,ALLV,ES20060,PER_10000,0
2021,ALLV,ES48077,PER_10000,34.7
2020,ALLV,ES20067,PER_10000,53.7
2021,ALLV,ES20042,PER_10000,28.7
2019,ALLV,ES2007,PER_10000,23
2021,ALLV,ES48015,PER_10000,36.7
2019,ALLV,ES20019,PER_10000,33.4
2021,ALLV,ES20058,PER_10000,44.2
2019,ALLV,ES48038,PER_10000,14.1
2018,ALLV,ES48015,PER_10000,34.1
2018,ALLV,ES20004,PER_10000,0
2019,ALLV,ES48016,PER_10000,29.5
2021,ALLV,ES48033,PER_10000,0
2018,ALLV,ES20027,PER_10000,27.4
2020,ALLV,ES01042,PER_10000,194.7
2021,ALLV,ES48017,PER_10000,57.4
2020,ALLV,ES48908,PER_10000,63.3
2018,ALLV,ES48017,PER_10000,38.6
2021,ALLV,ES4802,PER_10000,1.1
2020,ALLV,ES48043,PER_10000,45.6
2019,ALLV,ES48033,PER_10000,0
2019,ALLV,ES48018,PER_10000,0
2021,ALLV,ES48084,PER_10000,93.3
2020,ALLV,ES48018,PER_10000,17.4
2018,ALLV,ES20046,PER_10000,45.6
2021,ALLV,ES48019,PER_10000,8.8
2019,ALLV,ES48903,PER_10000,61.2
2018,ALLV,ES20028,PER_10000,52.9
2020,ALLV,ES2006,PER_10000,38.7
2019,ALLV,ES01046,PER_10000,56.8
2018,ALLV,ES01036,PER_10000,54.2
2018,ALLV,ES4802,PER_10000,49.4
2020,ALLV,ES20041,PER_10000,132.5
2021,ALLV,ES20029,PER_10000,36.5
2021,ALLV,ES48005,PER_10000,0
2018,ALLV,ES01047,PER_10000,27
2021,ALLV,ES2002,PER_10000,73.5
2018,ALLV,ES48020,PER_10000,53.6
2019,ALLV,ES20059,PER_10000,24.1
2018,ALLV,ES48081,PER_10000,40.6
2021,ALLV,ES48003,PER_10000,34.8
2020,ALLV,ES20040,PER_10000,41.4
2019,ALLV,ES20020,PER_10000,0
2019,ALLV,ES20040,PER_10000,57.5
2019,ALLV,ES48055,PER_10000,38.8
2019,ALLV,ES20068,PER_10000,0
2018,ALLV,ES48005,PER_10000,0
2018,ALLV,ES48022,PER_10000,59.2
2021,ALLV,ES48004,PER_10000,0
2021,ALLV,ES01016,PER_10000,0
2020,ALLV,ES48008,PER_10000,30
2020,ALLV,ES48023,PER_10000,27.9
2020,ALLV,ES01047,PER_10000,13.3
2018,ALLV,ES48078,PER_10000,32.4
2018,ALLV,ES48006,PER_10000,0
2018,ALLV,ES01034,PER_10000,0
2020,ALLV,ES48076,PER_10000,0
2018,ALLV,ES48024,PER_10000,0
2019,ALLV,ES48053,PER_10000,16.3
2020,ALLV,ES20030,PER_10000,58.2
2018,ALLV,ES48076,PER_10000,0
2019,ALLV,ES01031,PER_10000,27.7
2019,ALLV,ES20022,PER_10000,0
2019,ALLV,ES48025,PER_10000,37.2
2021,ALLV,ES48905,PER_10000,117.9
2020,ALLV,ES48075,PER_10000,81
2019,ALLV,ES48051,PER_10000,0
2018,ALLV,ES48026,PER_10000,0
2018,ALLV,ES01016,PER_10000,0
2021,ALLV,ES20069,PER_10000,47.5
2021,ALLV,ES48050,PER_10000,0
2020,ALLV,ES48027,PER_10000,35
2018,ALLV,ES48009,PER_10000,98.4
2018,ALLV,ES48073,PER_10000,23.6
2019,ALLV,ES48904,PER_10000,38.2
2019,ALLV,ES20032,PER_10000,36
2021,ALLV,ES48052,PER_10000,9.4
2020,ALLV,ES48028,PER_10000,75.8
2021,ALLV,ES01008,PER_10000,20.2
2018,ALLV,ES20032,PER_10000,25.7
2021,ALLV,ES01049,PER_10000,0
2020,ALLV,ES48071,PER_10000,108.4
2020,ALLV,ES01001,PER_10000,59.2
2019,ALLV,ES48029,PER_10000,29.7
2018,ALLV,ES0105,PER_10000,14.3
2021,ALLV,ES01033,PER_10000,71.4
2021,ALLV,ES20053,PER_10000,75.1
2018,ALLV,ES4803,PER_10000,37.4
2021,ALLV,ES01055,PER_10000,57.1
2018,ALLV,ES20039,PER_10000,28.3
2021,ALLV,ES4805,PER_10000,32.8
2019,ALLV,ES20024,PER_10000,0
2020,ALLV,ES0105,PER_10000,291.5
2021,ALLV,ES0105,PER_10000,287.6
2021,ALLV,ES01022,PER_10000,58.9
2021,ALLV,ES20038,PER_10000,0
2020,ALLV,ES48052,PER_10000,28.1
2018,ALLV,ES48030,PER_10000,0
2020,ALLV,ES48015,PER_10000,51
2020,ALLV,ES01013,PER_10000,48.2
2021,ALLV,ES48012,PER_10000,92.9
2019,ALLV,ES48012,PER_10000,38.1
2019,ALLV,ES48013,PER_10000,58.5
2021,ALLV,ES20009,PER_10000,29.6
2019,ALLV,ES4805,PER_10000,49.5
2019,ALLV,ES01056,PER_10000,0
2019,ALLV,ES48014,PER_10000,13.6
2021,ALLV,ES20035,PER_10000,0
2019,ALLV,ES20035,PER_10000,0
2020,ALLV,ES48033,PER_10000,0
2020,ALLV,ES48065,PER_10000,98.6
2018,ALLV,ES4805,PER_10000,41.5
2020,ALLV,ES48049,PER_10000,0
2021,ALLV,ES48034,PER_10000,40.4
2019,ALLV,ES01011,PER_10000,0
2020,ALLV,ES48064,PER_10000,0
2020,ALLV,ES20050,PER_10000,0
2018,ALLV,ES01023,PER_10000,53.5
2019,ALLV,ES2005,PER_10000,28.4
2021,ALLV,ES48035,PER_10000,0
2021,ALLV,ES20026,PER_10000,0
2018,ALLV,ES48016,PER_10000,59.5
2019,ALLV,ES48047,PER_10000,103.1
2019,ALLV,ES48036,PER_10000,48.3
2018,ALLV,ES48035,PER_10000,36.2
2019,ALLV,ES0103,PER_10000,37.6
2020,ALLV,ES01051,PER_10000,57.3
2020,ALLV,ES01057,PER_10000,0
2021,ALLV,ES0106,PER_10000,8.6
2019,ALLV,ES20036,PER_10000,46.7
2019,ALLV,ES48019,PER_10000,25.7
2021,ALLV,ES0103,PER_10000,529.6
2020,ALLV,ES48912,PER_10000,26.8
2021,ALLV,ES48910,PER_10000,26.7
2021,ALLV,ES20049,PER_10000,27.5
2019,ALLV,ES48035,PER_10000,0
2019,ALLV,ES01023,PER_10000,54.6
2018,ALLV,ES48018,PER_10000,122.8
2018,ALLV,ES48911,PER_10000,0
2020,ALLV,ES20036,PER_10000,32.7
2019,ALLV,ES48034,PER_10000,22.3
2019,ALLV,ES01006,PER_10000,0
2020,ALLV,ES20070,PER_10000,53.5
2020,ALLV,ES0106,PER_10000,6.8
2021,ALLV,ES20039,PER_10000,21.1
2018,ALLV,ES4804,PER_10000,37.3
2020,ALLV,ES2001,PER_10000,1.4
2018,ALLV,ES20069,PER_10000,46.4
2020,ALLV,ES48914,PER_10000,0
2020,ALLV,ES48037,PER_10000,0
2021,ALLV,ES48040,PER_10000,0
2018,ALLV,ES20034,PER_10000,9.9
2021,ALLV,ES48038,PER_10000,0
2020,ALLV,ES48039,PER_10000,0
2018,ALLV,ES48041,PER_10000,0
2020,ALLV,ES48031,PER_10000,0
2018,ALLV,ES48913,PER_10000,114
2020,ALLV,ES20038,PER_10000,0
2021,ALLV,ES48031,PER_10000,0
2021,ALLV,ES20034,PER_10000,77.8
2019,ALLV,ES48039,PER_10000,0
2018,ALLV,ES48029,PER_10000,42.7
2018,ALLV,ES48039,PER_10000,0
2019,ALLV,ES20033,PER_10000,74.3
2021,ALLV,ES48043,PER_10000,54.9
2021,ALLV,ES4803,PER_10000,26.9
2022,ALLV,ES4804,PER_10000,486.1
2019,ALLV,ES4804,PER_10000,40.8
2021,ALLV,ES20040,PER_10000,62
2018,ALLV,ES01001,PER_10000,66.7
2020,ALLV,ES4803,PER_10000,15.6
2018,ALLV,ES01057,PER_10000,130.7
2020,ALLV,ES20033,PER_10000,0
2021,ALLV,ES48029,PER_10000,30.9
2019,ALLV,ES48045,PER_10000,41.4
2019,ALLV,ES01028,PER_10000,53.5
2018,ALLV,ES01055,PER_10000,0
2019,ALLV,ES20030,PER_10000,47.5
2020,ALLV,ES48046,PER_10000,55.9
2021,ALLV,ES20070,PER_10000,0
2021,ALLV,ES48046,PER_10000,44.7
2018,ALLV,ES48914,PER_10000,0
2019,ALLV,ES48028,PER_10000,25.2
2019,ALLV,ES20039,PER_10000,14.1
2020,ALLV,ES48040,PER_10000,48.2
2020,ALLV,ES20031,PER_10000,166.7
2020,ALLV,ES01054,PER_10000,43.6
2021,ALLV,ES01054,PER_10000,0
2018,ALLV,ES48040,PER_10000,12.1
2020,ALLV,ES0103,PER_10000,481.8
2021,ALLV,ES48048,PER_10000,29.7
2018,ALLV,ES01054,PER_10000,0
2020,ALLV,ES20039,PER_10000,21.2
2021,ALLV,ES48024,PER_10000,64.1
2018,ALLV,ES48049,PER_10000,29.1
2021,ALLV,ES48026,PER_10000,28.1
2018,ALLV,ES20043,PER_10000,0
2020,ALLV,ES20071,PER_10000,37.7
2022,ALLV,ES4805,PER_10000,35.3
2019,ALLV,ES2004,PER_10000,52.9
2020,ALLV,ES48913,PER_10000,84.2
2019,ALLV,ES48042,PER_10000,12.1
2020,ALLV,ES20043,PER_10000,25.8
2020,ALLV,ES48025,PER_10000,55.9
2019,ALLV,ES01014,PER_10000,43.1
2018,ALLV,ES20030,PER_10000,47.8
2018,ALLV,ES48042,PER_10000,0
2019,ALLV,ES20071,PER_10000,32.1
2021,ALLV,ES48913,PER_10000,85.5
2021,ALLV,ES20027,PER_10000,22.3
2021,ALLV,ES48051,PER_10000,75.8
2019,ALLV,ES0101,PER_10000,25.2
2021,ALLV,ES01019,PER_10000,0
2021,ALLV,ES01053,PER_10000,121.2
2019,ALLV,ES48023,PER_10000,0
2020,ALLV,ES2003,PER_10000,727.2
2021,ALLV,ES01006,PER_10000,0
2018,ALLV,ES48043,PER_10000,40.7
2022,ALLV,ES2004,PER_10000,8.2
2018,ALLV,ES48912,PER_10000,26.8
2020,ALLV,ES01002,PER_10000,36
2020,ALLV,ES48022,PER_10000,96.2
2019,ALLV,ES20008,PER_10000,22.9
2022,ALLV,ES2003,PER_10000,727.2
2021,ALLV,ES48022,PER_10000,59.9
2020,ALLV,ES01006,PER_10000,0
2020,ALLV,ES20046,PER_10000,69.1
2018,ALLV,ES2003,PER_10000,29
2020,ALLV,ES20008,PER_10000,22.5
2021,ALLV,ES48044,PER_10000,31.6
2021,ALLV,ES48055,PER_10000,45.4
2020,ALLV,ES48021,PER_10000,60.3
2018,ALLV,ES01039,PER_10000,0
2019,ALLV,ES20042,PER_10000,27.6
2018,ALLV,ES01011,PER_10000,0
2020,ALLV,ES48024,PER_10000,32.8
2021,ALLV,ES48078,PER_10000,55.7
2021,ALLV,ES01028,PER_10000,13
2020,ALLV,ES01055,PER_10000,40.2
2020,ALLV,ES48032,PER_10000,15.8
2021,ALLV,ES01001,PER_10000,52.4
2019,ALLV,ES01008,PER_10000,21.4
2019,ALLV,ES211,PER_10000,50.6
2021,ALLV,ES211,PER_10000,47.3
2022,ALLV,ES211,PER_10000,45.4
2020,ALLV,ES211,PER_10000,45.4
2018,ALLV,ES211,PER_10000,47.4
2019,ALLV,ES213,PER_10000,50.3
2018,ALLV,ES213,PER_10000,49.5
2020,ALLV,ES213,PER_10000,49.8
2022,ALLV,ES213,PER_10000,49.8
2021,ALLV,ES213,PER_10000,49.1
2019,ALLV,ES212,PER_10000,45.8
2021,ALLV,ES212,PER_10000,47.1
2020,ALLV,ES212,PER_10000,42.2
2018,ALLV,ES212,PER_10000,43.6
2022,ALLV,ES212,PER_10000,42.2
2019,SEXV,ES20039,PER_10000,0
2020,SEXV,ES20038,PER_10000,0
2019,SEXV,ES48039,PER_10000,0
2021,SEXV,ES0103,PER_10000,0
2020,SEXV,ES01057,PER_10000,0
2018,SEXV,ES48038,PER_10000,0
2018,SEXV,ES48034,PER_10000,1.2
2019,SEXV,ES48038,PER_10000,0
2019,SEXV,ES48036,PER_10000,0.7
2018,SEXV,ES20038,PER_10000,0
2019,SEXV,ES20038,PER_10000,0
2019,SEXV,ES20037,PER_10000,0
2020,SEXV,ES48037,PER_10000,0
2019,SEXV,ES48033,PER_10000,0
2020,SEXV,ES20037,PER_10000,0
2018,SEXV,ES48037,PER_10000,0
2020,SEXV,ES0103,PER_10000,0
2019,SEXV,ES01057,PER_10000,0
2018,SEXV,ES48036,PER_10000,0.7
2018,SEXV,ES20037,PER_10000,0
2019,SEXV,ES48035,PER_10000,0
2018,SEXV,ES48035,PER_10000,0
2020,SEXV,ES20036,PER_10000,7
2020,SEXV,ES48035,PER_10000,0
2019,SEXV,ES48034,PER_10000,1.2
2018,SEXV,ES01056,PER_10000,0
2020,SEXV,ES48034,PER_10000,0
2019,SEXV,ES20035,PER_10000,34
2019,SEXV,ES01056,PER_10000,0
2020,SEXV,ES48036,PER_10000,2.7
2018,SEXV,ES01013,PER_10000,0
2019,SEXV,ES20036,PER_10000,1.2
2018,SEXV,ES20036,PER_10000,7
2020,SEXV,ES48033,PER_10000,0
2018,SEXV,ES48033,PER_10000,0
2019,SEXV,ES01006,PER_10000,0
2019,SEXV,ES48037,PER_10000,0
2020,SEXV,ES48032,PER_10000,0
2019,SEXV,ES48032,PER_10000,0
2018,SEXV,ES48032,PER_10000,2.6
2018,SEXV,ES0103,PER_10000,0
2018,SEXV,ES20035,PER_10000,0
2020,SEXV,ES20035,PER_10000,0
2018,SEXV,ES01028,PER_10000,13.4
2020,SEXV,ES01056,PER_10000,0
2019,SEXV,ES48031,PER_10000,0
2020,SEXV,ES48038,PER_10000,0
2018,SEXV,ES01006,PER_10000,0
2018,SEXV,ES20034,PER_10000,0
2020,SEXV,ES01028,PER_10000,0
2020,SEXV,ES20034,PER_10000,4.9
2018,SEXV,ES48030,PER_10000,0
2020,SEXV,ES48030,PER_10000,0
2019,SEXV,ES48030,PER_10000,0
2019,SEXV,ES20034,PER_10000,0
2020,SEXV,ES01055,PER_10000,0
2021,SEXV,ES4803,PER_10000,4.2
2018,SEXV,ES4803,PER_10000,2.8
2020,SEXV,ES48039,PER_10000,0
2020,SEXV,ES01013,PER_10000,0
2019,SEXV,ES4803,PER_10000,1.6
2018,SEXV,ES01058,PER_10000,0
2019,SEXV,ES01028,PER_10000,0
2018,SEXV,ES48029,PER_10000,0
2018,SEXV,ES01055,PER_10000,0
2018,SEXV,ES01057,PER_10000,0
2021,SEXV,ES4804,PER_10000,2.5
2019,SEXV,ES01002,PER_10000,0
2020,SEXV,ES01006,PER_10000,0
2020,SEXV,ES20033,PER_10000,0
2018,SEXV,ES20033,PER_10000,0
2020,SEXV,ES48029,PER_10000,1.7
2018,SEXV,ES20032,PER_10000,3.4
2019,SEXV,ES48028,PER_10000,0
2018,SEXV,ES48028,PER_10000,0
2018,SEXV,ES01054,PER_10000,0
2019,SEXV,ES48027,PER_10000,3.2
2018,SEXV,ES48027,PER_10000,3.3
2020,SEXV,ES48027,PER_10000,4.5
2020,SEXV,ES20032,PER_10000,0
2018,SEXV,ES20031,PER_10000,0
2020,SEXV,ES48026,PER_10000,0
2019,SEXV,ES20031,PER_10000,0
2018,SEXV,ES48026,PER_10000,0
2019,SEXV,ES48026,PER_10000,0
2020,SEXV,ES48040,PER_10000,0
2020,SEXV,ES01054,PER_10000,0
2019,SEXV,ES01013,PER_10000,0
2021,SEXV,ES2004,PER_10000,5
2019,SEXV,ES01027,PER_10000,0
2019,SEXV,ES01054,PER_10000,0
2019,SEXV,ES48025,PER_10000,0
2018,SEXV,ES48025,PER_10000,0
2020,SEXV,ES20031,PER_10000,0
2019,SEXV,ES20030,PER_10000,2.8
2019,SEXV,ES48024,PER_10000,0
2018,SEXV,ES48024,PER_10000,16.6
2018,SEXV,ES01027,PER_10000,0
2020,SEXV,ES48024,PER_10000,16
2018,SEXV,ES48023,PER_10000,0
2020,SEXV,ES01027,PER_10000,0
2020,SEXV,ES20030,PER_10000,6.4
2019,SEXV,ES48023,PER_10000,0
2020,SEXV,ES01011,PER_10000,0
2018,SEXV,ES20030,PER_10000,2.8
2021,SEXV,ES2003,PER_10000,3.2
2020,SEXV,ES48022,PER_10000,0
2019,SEXV,ES2003,PER_10000,2.2
2018,SEXV,ES48022,PER_10000,0
2019,SEXV,ES48022,PER_10000,0
2020,SEXV,ES2003,PER_10000,6.3
2020,SEXV,ES48043,PER_10000,0
2019,SEXV,ES48021,PER_10000,0
2018,SEXV,ES48021,PER_10000,0
2018,SEXV,ES48043,PER_10000,16.6
2020,SEXV,ES01053,PER_10000,60.6
2018,SEXV,ES2003,PER_10000,2.2
2019,SEXV,ES01053,PER_10000,0
2019,SEXV,ES48020,PER_10000,3.5
2020,SEXV,ES48044,PER_10000,1.5
2018,SEXV,ES48020,PER_10000,5.6
2020,SEXV,ES01052,PER_10000,0
2018,SEXV,ES01011,PER_10000,0
2020,SEXV,ES20029,PER_10000,0
2018,SEXV,ES20029,PER_10000,3.7
2019,SEXV,ES4802,PER_10000,3
2018,SEXV,ES4802,PER_10000,3.9
2018,SEXV,ES01052,PER_10000,0
2021,SEXV,ES4802,PER_10000,4.8
2019,SEXV,ES20029,PER_10000,0
2019,SEXV,ES48019,PER_10000,0
2018,SEXV,ES48019,PER_10000,4.3
2018,SEXV,ES20028,PER_10000,0
